Day,Date offset,Weekday,Format,Hook / Title,Angle,Caption opener (FR),CTA,Hashtag pack,Story of the day,Status
1,D+0,Mon,Carousel (educational),"5 erreurs qui tuent ton logo (et personne ne te le dit)",Education,"Si ton logo te ressemble en 2026, c'est peut-être déjà trop tard.","Save ce post + DM 'AUDIT' pour un check de ton logo en 5 min.",branding,"Poll: Logo A ou Logo B ? (montre 2 versions d'un projet)",To produce
2,D+1,Tue,Reel (hook),"POV: ton client te dit 'fais-le plus pop'",Humor / relatable,"3 mots qui font pleurer tous les graphistes du monde.","Tague un designer qui a déjà entendu ça.",freelance,"BTS: setup du jour (Figma + café)",To produce
3,D+2,Wed,—,—,—,—,—,—,"Q&A box: 'Pose-moi tes questions branding' + réponses en voice notes",—
4,D+3,Thu,Reel (hook),"Le logo à 50€ vs le logo à 500€ vs le logo à 5000€",Comparison,"La différence de prix n'est pas dans le dessin. C'est dans tout ce qu'il y a autour.","Quel niveau te correspond ? Réponds en commentaire.",branding,"Avant/après d'un projet en cours (1 slide)",To produce
5,D+4,Fri,Carousel (proof),"Étude de cas: rebrand de [Nom Client]",Case study,"De 'logo Canva' à identité complète en 14 jours. Voici comment.","Prêt pour ton rebrand ? DM 'BRAND'.",casestudy,"Screenshot d'un DM client positif",To produce
6,D+5,Sat,Carousel (educational),"Comment choisir tes couleurs de marque (sans te tromper)",Education,"Tes couleurs ne sont pas une question de goût. C'est une question de stratégie.","Save pour ton prochain projet.",branding,"Repost d'un client qui a tagué ton travail",To produce
7,D+6,Sun,Reel (hook),"3 polices que j'utilise sur 80% de mes projets",Tips,"Et pourquoi je ne change pas, même quand le client demande Comic Sans.","Comment ta police préférée en commentaire.",typography,"Lifestyle: vue du dimanche / setup",To produce
8,D+7,Mon,Carousel (educational),"Le brief client parfait — checklist en 7 points",Education,"Un mauvais brief = un projet qui dérape. Voici ma checklist.","Save + envoie à un client qui en a besoin.",freelance,"Poll: 'Quel est ton plus gros défi en branding ?'",To produce
9,D+8,Tue,Reel (hook),"Ce que personne ne te dit avant de devenir freelance graphiste",Personal / opinion,"J'aurais aimé qu'on me dise ces 3 choses avant de démarrer.","Tu démarres ? DM 'FREELANCE' je t'envoie ma feuille de route.",freelance,"BTS: brouillons / sketches du jour",To produce
10,D+9,Wed,—,—,—,—,—,—,"Voice note: 'Mon avis sur la dernière tendance design' ",—
11,D+10,Thu,Reel (hook),"Avant / Après: rebrand en 30 secondes",Transformation,"Même boutique. Mêmes produits. Identité refaite. Devine les ventes.","Lequel tu préfères ? A ou B ?",branding,"Process: photo de la moodboard physique",To produce
12,D+11,Fri,Carousel (proof),"Comment j'ai conçu l'identité de [Café/Resto] en 10 jours",Case study,"Brief reçu un lundi. Identité livrée le 3e dimanche. Voici le process.","Tu as un projet ? DM 'PROJET'.",casestudy,"Témoignage client (texte sur fond beige)",To produce
13,D+12,Sat,Carousel (educational),"Les 5 signes qu'il est temps de rebrander ta marque",Education,"Si tu coches 3 sur 5 → ton logo te coûte des clients.","DM 'AUDIT' pour un diagnostic gratuit.",branding,"Repost story: BTS d'un projet en cours",To produce
14,D+13,Sun,Reel (hook),"Mon setup pour designer 8h par jour sans me cramer",Lifestyle / BTS,"Outils, raccourcis, et l'erreur que je faisais avant.","Quel est TON outil indispensable ?",freelance,"Lifestyle dimanche / repos",To produce
15,D+14,Mon,Carousel (educational),"Logo vs Identité visuelle vs Branding — la différence enfin claire",Education,"3 mots qu'on confond tout le temps. Et ça coûte cher au client.","Save ce post.",branding,"Poll: 'Tu as déjà confondu logo et branding ?'",To produce
16,D+15,Tue,Reel (hook),"Pourquoi ton logo doit fonctionner en noir et blanc avant tout",Tips / education,"Si ton logo a besoin de 6 couleurs pour exister, c'est pas un logo. C'est une illustration.","D'accord ou pas ? Commente.",branding,"BTS: test logo en noir & blanc",To produce
17,D+16,Wed,—,—,—,—,—,—,"Q&A: 'Pose tes questions sur les tarifs' + réponses",—
18,D+17,Thu,Reel (hook),"3 conseils pour briefer un graphiste (et ne pas perdre ton argent)",Tips for clients,"Pour les entrepreneurs qui en ont marre des allers-retours.","Sauvegarde + envoie à ton équipe.",freelance,"Screenshot: brief client bien fait",To produce
19,D+18,Fri,Carousel (proof),"3 rebrands que j'ai livrés cette année — avant/après",Portfolio,"Un récap des 3 projets dont je suis le plus fier en 2026.","Lequel ton préféré ? 1, 2 ou 3 ?",casestudy,"Repost client tag",To produce
20,D+19,Sat,Carousel (educational),"7 polices gratuites qui font payer style 'premium'",Tips,"Pas besoin de payer 200€ pour avoir l'air professionnel.","DM 'POLICES' je t'envoie la liste complète.",typography,"Repost story: une police bien utilisée",To produce
21,D+20,Sun,Reel (hook),"Une journée type d'un graphiste freelance",Lifestyle / BTS,"Spoiler: c'est pas Pinterest.","Tu veux la version honnête ou la version Instagram ?",freelance,"Lifestyle: balade / inspiration du dimanche",To produce
22,D+21,Mon,Carousel (educational),"Comment fixer tes tarifs en tant que freelance graphiste",Education,"La question qui revient en DM 50 fois par mois. Voici la réponse.","Save + DM 'TARIFS' pour ma grille.",freelance,"Poll: 'Combien tu factures un logo ?'",To produce
23,D+22,Tue,Reel (hook),"3 outils gratuits que j'utilise tous les jours",Tools,"Pas Figma, pas Adobe. Les vrais petits secrets.","Lequel tu connaissais déjà ?",freelance,"BTS: l'outil du jour en action",To produce
24,D+23,Wed,—,—,—,—,—,—,"Voice note: 'L'erreur de débutant que je faisais en 2020'",—
25,D+24,Thu,Reel (hook),"POV: tu reçois enfin un brief client clair",Humor / relatable,"Un mythe. Une légende. Une rumeur.","Tague un client qui sait briefer 🙏",freelance,"Repost: BTS du projet en cours",To produce
26,D+25,Fri,Carousel (proof),"Étude de cas: comment j'ai sauvé un logo en 48h",Case study,"Lancement dans 2 jours. Logo refusé. Voici ce que j'ai fait.","Besoin d'un design rapide ? DM 'URGENCE'.",casestudy,"Témoignage en story format",To produce
27,D+26,Sat,Carousel (educational),"Les 4 piliers d'une identité visuelle qui dure 10 ans",Education,"Pourquoi certaines marques n'ont jamais besoin de rebrander.","Save + tague une marque qui le fait bien.",branding,"Exemple de marque iconique en story",To produce
28,D+27,Sun,Reel (hook),"Ce que j'ai appris après [X] projets de branding",Personal / story,"Je pensais que c'était le talent. C'est pas le talent.","Quel a été ton plus gros déclic en design ?",freelance,"Lifestyle / réflexion du dimanche",To produce
29,D+28,Mon,Carousel (educational),"Comment savoir si ton designer est compétent (avant de le payer)",Education / for clients,"3 questions qui filtrent 90% des amateurs.","Save + envoie à ton entrepreneur préféré.",freelance,"Poll: 'Tu as déjà été déçu par un designer ?'",To produce
30,D+29,Tue,Reel (hook),"Mon process complet pour livrer un logo en 7 jours",Process,"Étape par étape. Pas de mystère. Juste de la méthode.","Tu veux un logo en 7 jours ? DM 'LOGO 7'.",freelance,"BTS du process en story (recap)",To produce
